,Company name Latin alphabet,BvD ID number,"DM
Full name","DM
UCI (Unique Contact Identifier)","DM
Current or previous","DM
Type of role","DM
Board, committee or department"
,,,Ms Alba Ocarranza Fernandez,P407616217,Current,Qual,Quality Assurance
,,,Mr Raul Diaz Bande,P674835003,Current,R&D,Research & Development / Engineering
,,,Mr Raul Diaz Bande,P674835003,Current,Oper,Operations & Production & Manufacturing
,,,Mr Raul Diaz Bande,P674835003,Current,Proc,Purchasing & Procurement
807.,MSN 1427 LEASING LIMITED,IE909410,AWAS (IRELAND) LIMITED,CVA0ACHOAO,Current,"BoD,SenMan",Board of Directors; Senior management
808.,AEROMECANIC 34,FR438036816,No data fulfill your filter criteria,No data fulfill your filter criteria,No data fulfill your filter criteria,No data fulfill your filter criteria,No data fulfill your filter criteria
809.,CH7 HELICOPTERS HELI-SPORT - S.R.L. IN FORMA ABBREVIATA CH7 HELI-SPORT - S.R.L.,IT07225270011,Mr Giuseppe Maria Barbero,P086598201,Current,BoD,Board of Directors
,,,Mr Giuseppe Maria Barbero,P086598201,Current,SenMan,Senior management
,,,Mr Claudio Barbero,P071284396,Current,BoD,Board of Directors
,,,Mr Claudio Barbero,P071284396,Current,SenMan,Senior management
810.,AVOLON AEROSPACE( IRELAND ) AOE 77 LIMITED,IE588978,Mr Daniel Coleman Byrne,P611716041,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Fionn Crowley,P699280182,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Mr Enda Oaodonnell,P699280183,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Mr Jammes Outram,P188443756,Current,"BoD,SenMan",Board of Directors; Senior management
,,,AVOLON CORPORATE SERVICES LIMITED,C165164126,Current,SenMan,Senior management
811.,LCI HELICOPTERS TWENTY LIMITED,IE620034,Ms Terri Anne Foley,P129737037,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Ms Terri Anne Foley,P129737037,Current,SenMan,Senior management
,,,Ms Jane Keith,P446672072,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Ms Jane Keith,P446672072,Current,SenMan,Senior management
,,,Mr Kevin John O'Dowd,P082963905,Current,"BoD,SenMan",Board of Directors; Senior management
812.,AERDRAGON MSN4102 LEASING LIMITED,IE657146,Mr Sean Gerard Brennan,P041604788,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Mr Seamus Joseph Fitzgerald,P041671790,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Mr Zhu Haiping,P041885599,Current,"BoD,SenMan",Board of Directors; Senior management
,,,AERCAP ADMINISTRATIVE SERVICES LIMITED,C009713913,Current,SenMan,Senior management
813.,WOODCOMP PROPELLERS S.R.O.,CZ01893351,Mr Ales Kremen,P000770850,Current,"SenMan,OthDep",Senior management; Other or unspecified department
814.,CAV ADVANCED TECHNOLOGIES LIMITED,GB06714060,Mr Michael John Eggleston,P498234684,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Mr Richard John Dent Lowery,P006297526,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Mr Richard John Dent Lowery,P006297526,Current,SenMan,Senior management
815.,G1 AVIATION,FR488351958,Mr Serge Present,P003191632,Current,BoD,Board of Directors
816.,KONNER S.R.L. - SOCIETA' UNIPERSONALE,IT02257300307,Mr Sergio Bortoluz,P071381980,Current,SenMan,Senior management
817.,DISTRESSED COMPANIES MANAGEMENT S.R.L. IN LIQUIDAZIONE,IT08814641216,No data fulfill your filter criteria,No data fulfill your filter criteria,No data fulfill your filter criteria,No data fulfill your filter criteria,No data fulfill your filter criteria
818.,ASSE - SOCIETA' A RESPONSABILITA' LIMITATA,IT01212700320,Mr Rolando Parmesani,P004241600,Current,SenMan,Senior management
819.,"AUSTRIAN AIRCRAFT CORPORATION-AAC, OSTERR. LUFTFAHRZEUG GES.M.B.H.",AT9110102771,No data fulfill your filter criteria,No data fulfill your filter criteria,No data fulfill your filter criteria,No data fulfill your filter criteria,No data fulfill your filter criteria
820.,GENEVATION AIRCRAFT KORLATOLT FELELOSSEGU TARSASAG,HU22769055,Mr Andras Bakacs,P130100186,Current,OthDep,Other or unspecified department
,,,Mr Viktor Istvan Szabo,P036675416,Current,OthDep,Other or unspecified department
821.,EUROMONTAGGI S.R.L.,IT05972351216,Mr Ciro Madonna,P300531421,Current,SenMan,Senior management
822.,POTEZ AERONAUTICA IBERICA SOCIEDAD LIMITADA.,ESB90234576,Mr Antoine Alain Potez,P322059773,Current,BoD,Board of Directors
,,,Mr Antoine Alain Potez,P322059773,Current,SenMan,Senior management
823.,AWAS 40236 IRELAND LIMITED,IE604546,Ms Lyn Marie Cheung,P117939821,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Ms Lisa Lyons,P514659522,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Mr Christopher Monks,P621010155,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Matsack Trust Limited,C009670885,Current,SenMan,Senior management
824.,FGA SAINT NAZAIRE,FR818093577,Mr Jean-Claude Maillard,P051751409,Current,BoD,Board of Directors
,,,Mr Didier Roux,P051639667,Current,SenMan,Senior management
,,,Mr Xavier Verse,P077084990,Current,SenMan,Senior management
,,,Mr Joel Malleviale,P080009176,Current,"FinAcc,AdmDep",Finance & Accounting; Administration department
,,,Mr Sebastien Wattebled,P413742257,Current,HR,Human Resources (HR)
,,,Mr Thomas Girard,P237881721,Current,Sales,Sales & Retail
,,,Mr Thomas Girard,P237881721,Current,MarkAdv,Marketing & Advertising
,,,Mr Yoann Couriol,P668408937,Current,Oper,Operations & Production & Manufacturing
,,,Mr Cyril Houvenaghel,P413742256,Current,Proc,Purchasing & Procurement
,,,Mr Benjamin Lhostis,P668408938,Current,BrOff,Branch office
825.,ZANZOTTERA TECHNOLOGIES S.R.L.,IT03766920965,Mr Moshe Elazar,P651097046,Current,SenMan,Senior management
,,,Ms Giuseppina Fumagalli,P119272099,Current,SenMan,Senior management
,,,Mr Guido Zanzottera,P119272098,Current,SenMan,Senior management
826.,KEM-AVIATION KERESKEDELMI ES SZOLGALTATO BETETI TARSASAG,HU21120165,No data fulfill your filter criteria,No data fulfill your filter criteria,No data fulfill your filter criteria,No data fulfill your filter criteria,No data fulfill your filter criteria
827.,AEROPRO S.R.O.,SK34142215,Mr Jan Ivancik,P008864734,Current,SenMan,Senior management
,,,Ing. Jozef Lobb,P052881628,Current,SenMan,Senior management
,,,Ing. Peter Toncek,P052881629,Current,SenMan,Senior management
828.,GALAXY GRS S.R.O.,CZ28732049,Ing. Milan Babovka,P000748350,Current,"SenMan,OthDep",Senior management; Other or unspecified department
,,,Ml. Jan Krecman,P041031113,Current,"SenMan,OthDep",Senior management; Other or unspecified department
829.,QUINTA INGENIERIA SL,ESB11769510,Mr Jesus Lama Ochoa De Retana,P042512154,Current,BoD,Board of Directors
,,,Mr Jorge Munoz Roig,P042573591,Current,SenMan,Senior management
830.,ARESIA SALBRIS,FR444385249,Mr Bruno Berthet,P273159795,Current,SenMan,Senior management
,,,Mr Sebastien Morin,P336176933,Current,Oper,Operations & Production & Manufacturing
831.,UVIONIX ENGINEERING LTD OOD,BG203329469,Mr Boris Vasilev Iskrev,P000398560,Current,SenMan,Senior management
,,,Mr Vasil Yordanov Iskrev,P138358071,Current,SenMan,Senior management
832.,AEROESPACIAL ESPANOLA SA (CAESA) - OEG SOLUTIONS SL - AVIONICA MANTENIMIENTO Y DISENO SL (AVIMADIS)- CENTRO AEREO IBER S,ESU88159769,Mr Ricardo Fuster Garaizabal,P002221273,Current,OthDep,Other or unspecified department
,,,Mr Ricardo Fuster Garaizabal,P002221273,Current,OthDep,Other or unspecified department
,,,Mr Ricardo Fuster Garaizabal,P002221273,Current,SpecPos,Other specific positions
,,,Mr Fernando Alvarez Bermejo,P161195699,Current,OthDep,Other or unspecified department
,,,Mr Fernando Alvarez Bermejo,P161195699,Current,SpecPos,Other specific positions
,,,Mr Oscar Luis Jimenez Rubio,P409450504,Current,OthDep,Other or unspecified department
,,,Mr Oscar Luis Jimenez Rubio,P409450504,Current,SpecPos,Other specific positions
,,,Mr Antonio Lorenzo Vega,P094766554,Current,OthDep,Other or unspecified department
,,,Mr Antonio Lorenzo Vega,P094766554,Current,SpecPos,Other specific positions
833.,PIAP SPACE SP. Z O.O.,PL366496820,Ms Magdalena Bohusz Boguszewska,P686160491,Current,SupB,Supervisory Board
,,,Ms Agnieszka Mankowska,P686160490,Current,SupB,Supervisory Board
,,,Mr Rafal Wiecko,P686160489,Current,SupB,Supervisory Board
,,,Mr Mateusz Wolski,P385580246,Current,ExeB,Executive Board
,,,Mr Andrzej Lucjan,P621072091,Current,ExeB,Executive Board
834.,AERDRAGON MSN3984 LEASING LIMITED,IE657147,Mr Sean Gerard Brennan,P041604788,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Mr Seamus Joseph Fitzgerald,P041671790,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Mr Zhu Haiping,P041885599,Current,"BoD,SenMan",Board of Directors; Senior management
,,,AERCAP ADMINISTRATIVE SERVICES LIMITED,C009713913,Current,SenMan,Senior management
835.,ROTOR BLADES LIMITED,GB05062217,Ms Linda Gatlin Diehl,P187796204,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Mr Christopher Schaefer,P733112298,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Ms Natalie Erin Taylor,P733112228,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Mr Michael Dean Thacker,P451714604,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Mr Richard Clive Lewis,P128229790,Current,SenMan,Senior management
,,,Mr Jon Smith,P725628513,Current,OthDep,Other or unspecified department
836.,TOMARKAERO S.R.O.,SK44738331,Ing. Daniel Tomko,P008863933,Current,SenMan,Senior management
837.,DIOXID SP. Z O.O.,PL180386882,Mr Grzegorz Malinowski,P064797171,Current,ExeB,Executive Board
,,,Ms Gertruda Malinowska,P064809020,Current,ExeB,Executive Board
838.,AERMATICA3D S.R.L.,IT03630610131,Mr Paolo Marras,P071343113,Current,SenMan,Senior management
839.,ROMADE LEASING DESIGNATED ACTIVITY COMPANY,IE617343,Mr Kenneth Anthony Casey,P421989297,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Ms Sandra Hannigan,P294256368,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Wilmington Trust SP Services (Dublin) Limited,C009730387,Current,SenMan,Senior management
840.,SABENA AEROSPACE,BE0879932035,BETRIX SA,CVA9354730,Current,BoD,Board of Directors
,,,Mr Isalyne Marie Michel,P123687786,Current,BoD,Board of Directors
,,,B GLOBAL MANAGEMENT,CVA0ABZTGI,Current,SenMan,Senior management
841.,SCALEWINGS AEROPRO SP. Z O.O.,PL367761000,Mr Christian von Kessel,P334803983,Current,ExeB,Executive Board
,,,Dipl.-Kfm. Klaus Kuebler,P667940630,Current,ExeB,Executive Board
842.,LABORATOIRE D'ESSAIS DE MONTEREAU,FR339705782,Mr Dimitri Langlois,P051943124,Current,BoD,Board of Directors
,,,Mr Franck Dimitri,P406966839,Current,SenMan,Senior management
,,,Ms Christelle Delange,P139220061,Current,"FinAcc,AdmDep",Finance & Accounting; Administration department
,,,Ms Christelle Delange,P139220061,Current,Proc,Purchasing & Procurement
,,,Ms Aline Mailliez,P451386663,Current,Sales,Sales & Retail
,,,Mr Loic Jeannot,P451386664,Current,Oper,Operations & Production & Manufacturing
,,,Mr Vincent Ntol,P593261911,Current,Qual,Quality Assurance
843.,ZAKLAD ELEMENTOW SPREZYSTYCH I LOTNICZYCH SP. Z O.O.,PL142672896,Mr Marek Jankowski,P129606545,Current,SupB,Supervisory Board
,,,Ms Hanna Sokol,P056012993,Current,SupB,Supervisory Board
,,,Mr Andrzej Wroblewski,P041090689,Current,SupB,Supervisory Board
,,,Mr Jakub Kruk,P462100894,Current,ExeB,Executive Board
844.,AFE AIRCRAFT FOR EVERYBODY SRL,IT08982271218,Ms Giovanna Napolitano,P070785376,Current,SenMan,Senior management
845.,"GY AVIATION LEASE 1828 CO., LIMITED",IE632087,Mr Hong Chen,P460603246,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Mr Alan Geraghty,P057039697,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Mr Patrick Christopher Hannigan,P357125250,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Matsack Trust Limited,C009670885,Current,SenMan,Senior management
846.,CERTO AEROSPACE TECHNOLOGIES LIMITED,GB06455570,Mr Brady Michael Collins,P003285415,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Mr Brady Michael Collins,P003285415,Current,SenMan,Senior management
,,,Mr Seamus O'Brien,P201693158,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Mr Seamus O'Brien,P201693158,Current,SenMan,Senior management
,,,Mr James Donald Edmondson,P064253693,Current,SenMan,Senior management
847.,FLIGHT LEASE NGF DESIGNATED ACTIVITY COMPANY,IE675785,Mr Geoffrey Alexander,P652391231,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Mr Martin Corcoran,P410691497,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Mr Daniel Patrick Lowry,P113758003,Current,"BoD,SenMan",Board of Directors; Senior management
,,,ACUMEN AVIATION EUROPE LIMITED,C157995115,Current,SenMan,Senior management
848.,AEROWASH AB,SE5590532775,Mr Jan Nilsson,P044082320,Current,BoD,Board of Directors
,,,Mr Jan Nilsson,P044082320,Current,BoD,Board of Directors
,,,Mr Niklas Mathias Adler,P459589311,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Mr Niklas Mathias Adler,P459589311,Current,SenMan,Senior management
,,,Mr Joakim Noah London Adler,P025964190,Current,BoD,Board of Directors
,,,Mr Per Johan Olof Lundquist,P121918394,Current,BoD,Board of Directors
,,,Mr Lars Westlund,P720444236,Current,BoD,Board of Directors
,,,Mr Jules Mika Lajola,P043635166,Current,Sales,Sales & Retail
849.,AEROTECH S.R.L.,IT10800310012,Mr Giuseppe Scutella,P673740560,Current,SenMan,Senior management
850.,GOMSPACE SWEDEN AB,SE5566430475,Mr Niels Buus,P043438379,Current,BoD,Board of Directors
,,,Mr Niels Buus,P043438379,Current,Proxy,Proxyholders
,,,Mr Troels Dalsgaard,P173783382,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Mr Troels Dalsgaard,P173783382,Current,Proxy,Proxyholders
851.,TECNOSERVICE S.R.L. DI MARRAS BRUNO & C.,IT01982680165,Mr Bruno Marras,P378124137,Current,SenMan,Senior management
,,,Mr Marco Marras,P379424830,Current,SenMan,Senior management
,,,Mr Marco Marras,P379424830,Current,SenMan,Senior management
852.,UAB SPORTINE AVIACIJA IR KO,LT302442237,Mr Vytautas Maciulis,P250290792,Current,SenMan,Senior management
853.,HIGH PERFORMANCE STRUCTURES INOVATIE SI DEZVOLTARE SRL,RO36030916,Mr Ernst K. Pfeiffer,P204957416,Current,SenMan,Senior management
854.,SPHYME MECANICA Y FLUIDOS SLNE,ESB27714559,Mr Pablo Anselmo Pazos Beiro,P002412497,Current,BoD,Board of Directors
,,,Mr Pablo Anselmo Pazos Beiro,P002412497,Current,SenMan,Senior management
,,,Mr Emilio Fernada Villar,P626512034,Current,FinAcc,Finance & Accounting
,,,Mr Emilio Fernada Villar,P626512034,Current,OthDep,Other or unspecified department
855.,JIN SHAN 10 IRELAND COMPANY LIMITED,IE573023,Ms Caroline Mary Lucy Devlin,P007265530,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Ms Roisin Dixon,P041839631,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Ms Ling Li,P308212610,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Mr Lu Zhendong,P385396897,Current,"BoD,SenMan",Board of Directors; Senior management
,,,APEX IFS LIMITED,C015797056,Current,SenMan,Senior management
856.,EOMAP GMBH & CO. KG,DE8290185727,SATOP GmbH,C104898252,Current,SenMan,Senior management
857.,PRIENU UAB TERMIKAS,LT170634859,Mr Algimantas Jonusas,P007395229,Current,SenMan,Senior management
,,,Mr Vytautas Maciulis,P250290792,Current,SenMan,Senior management
858.,WYTWORNIA ZESPOLOW KOOPERACYJNYCH SP. Z O.O.,PL831311254,Mr Bogdan Banko,P138445854,Current,ExeB,Executive Board
,,,Mr Andrzej Surmacz,P701826757,Current,ExeB,Executive Board
859.,PORTELA AIRCRAFT LEASING (IRELAND) LIMITED,IE570201,Jarlath Canning,P109469411,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Mr Julian Dunphy,P066091664,Current,"BoD,SenMan",Board of Directors; Senior management
,,,MFD SECRETARIES LIMITED,CVA0ACJYQA,Current,SenMan,Senior management
860.,VENTURE ORBITAL SYSTEMS,FR850181918,Mr Stanislas Maximin,P490255586,Current,BoD,Board of Directors
,,,Mr Ilan Saidi-Bekerman,P490255588,Current,SenMan,Senior management
861.,ALEN SPACE SOCIEDAD LIMITADA.,ESB27867142,Mr Alberto Gonzalez Muino,P464534490,Current,BoD,Board of Directors
,,,Mr Alberto Gonzalez Muino,P464534490,Current,SenMan,Senior management
,,,Mr Guillermo Lamelas Nogueira,P464534491,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Mr Diego Nodar Lopez,P464534493,Current,BoD,Board of Directors
,,,Mr Roberto Ranera Redondo,P042169625,Current,BoD,Board of Directors
,,,Mr Antonio Vazquez Garcia,P464534492,Current,BoD,Board of Directors
,,,Mr Martin Werner Von Tabouillot,P144177775,Current,BoD,Board of Directors
,,,Mr Martin Werner Von Tabouillot,P144177775,Current,SenMan,Senior management
862.,MACH S.R.L.,IT03975511001,Mr Sandro Sgrulletti,P147144619,Current,SenMan,Senior management
863.,"AVIATOR ML 3069, LIMITED",IE622136,Ms Deirdre Brennan,P338959053,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Mr Kevin Michael Butler,P041864157,Current,"BoD,SenMan",Board of Directors; Senior management
,,,TMF ADMINISTRATION SERVICES LIMITED,CVA9586621,Current,SenMan,Senior management
864.,SPECIALS PRECISION SOLUTIONS EUROPE SP. Z O.O.,PL360405175,Mr Wieslaw Siwiec,P007752063,Current,ExeB,Executive Board
865.,MARZENIE AIRCRAFT LEASING DESIGNATED ACTIVITY COMPANY,IE603773,Mr Stephen James McQuaid,P055876289,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Ms Laura Morgan,P231818189,Current,"BoD,SenMan",Board of Directors; Senior management
,,,APEX IFS LIMITED,C015797056,Current,SenMan,Senior management
866.,ALFA AIR SOCIETA' A RESPONSABILITA' LIMITATA,IT05614821212,Mr Giuseppe Liccardo,P070283476,Current,SenMan,Senior management
867.,FLY SYNTHESIS S.R.L.,IT00495480311,Ms Sonia Felice,P070985054,Current,BoD,Board of Directors
,,,Mr Loris Accaino,P070985055,Current,BoD,Board of Directors
,,,Mr Diego Felice,P070985056,Current,BoD,Board of Directors
868.,AERDRAGON CRYSTAL NO.3 LEASING LIMITED,IE661080,Mr Sean Gerard Brennan,P041604788,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Mr Seamus Joseph Fitzgerald,P041671790,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Mr Zhu Haiping,P041885599,Current,"BoD,SenMan",Board of Directors; Senior management
,,,AERCAP ADMINISTRATIVE SERVICES LIMITED,C009713913,Current,SenMan,Senior management
869.,DANIELSON AIRCRAFT SYSTEMS,FR509591103,Mr Bernard Delaporte,P003214117,Current,BoD,Board of Directors
,,,GROUPE DANIELSON,C065785493,Current,BoD,Board of Directors
870.,LCI HELICOPTERS TWENTY FOUR LIMITED,IE661468,Mr Fabrice Jean Fraikin,P194541392,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Ms Jane Keith,P446672072,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Ms Jane Keith,P446672072,Current,SenMan,Senior management
,,,Mr Kevin John O'Dowd,P082963905,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Ms Terri Anne Foley,P129737037,Current,SenMan,Senior management
871.,ING. NANDO GROPPO S.R.L.,IT01580550182,Mr Federico Groppo,P516220385,Current,SenMan,Senior management
872.,LEISTRITZ TURBINSKE KOMPONENTE BELISCE D.O.O.,HR61139785155,Mr Zoran Pepic,P092928786,Current,SenMan,Senior management
,,,Dipl.- Ing. Ulrich Strieder,P262982752,Current,OthDep,Other or unspecified department
873.,JADE AVIATION (IRELAND) AOE 4 LIMITED,IE619319,Ms Zhi Yu Huang,P004419537,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Mr Edward Denys Riley,P086800538,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Mr Mark Justin Tierney,P007190220,Current,"BoD,SenMan",Board of Directors; Senior management
,,,AVOLON CORPORATE SERVICES LIMITED,C165164126,Current,SenMan,Senior management
874.,AVOLON AEROSPACE (IRELAND) AOE 118 LIMITED,IE606623,Mr Daniel Coleman Byrne,P611716041,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Fionn Crowley,P699280182,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Mr Enda Oaodonnell,P699280183,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Mr Jammes Outram,P188443756,Current,"BoD,SenMan",Board of Directors; Senior management
,,,AVOLON CORPORATE SERVICES LIMITED,C165164126,Current,SenMan,Senior management
875.,ELIAS 51 S.R.L.S.,IT08280331219,Mr Giosue Cecere,P386254271,Current,SenMan,Senior management
876.,VOLOCOPTER GMBH,DE7110299093,Mr Arnaud Coville,P698531628,Current,Proxy,Proxyholders
,,,Mr Andreas Fehring,P382248112,Current,Proxy,Proxyholders
,,,Mr Michael Joseph Hillermeier,P168301655,Current,Proxy,Proxyholders
,,,Mr Sven Kluitman,P698531627,Current,Proxy,Proxyholders
,,,Mr Sebastian Mores,P271494723,Current,Proxy,Proxyholders
,,,Mr Alexander Oelling,P130742069,Current,Proxy,Proxyholders
,,,Ms Lucie Prinz,P714554868,Current,Proxy,Proxyholders
,,,Mr Oliver Reinhardt,P389503253,Current,Proxy,Proxyholders
,,,Dr. Jan-Martin Schmidt,P300020801,Current,Proxy,Proxyholders
,,,Mr Christian Bauer,P206461596,Current,SenMan,Senior management
,,,Mr Dirk Carsten Hoke,P340974088,Current,SenMan,Senior management
877.,CYCLONE POLSKA SP. Z O.O.,PL360278096,Mr Andrzej Sochaj,P670071827,Current,ExeB,Executive Board
,,,Mr Aleksander Kubanski,P621001770,Current,LegDep,Legal/Compliance/Risk department
878.,AVOLON AEROSPACE (IRELAND) AOE 42 LIMITED,IE583388,Mr Daniel Coleman Byrne,P611716041,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Fionn Crowley,P699280182,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Mr Enda Oaodonnell,P699280183,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Mr Jammes Outram,P188443756,Current,"BoD,SenMan",Board of Directors; Senior management
,,,AVOLON CORPORATE SERVICES LIMITED,C165164126,Current,SenMan,Senior management
879.,NOVALTI SA,ESA48180251,Mr Ildefonso Lopez Andres,P043418908,Current,BoD,Board of Directors
,,,Mr Ildefonso Lopez Andres,P043418908,Current,SenMan,Senior management
,,,Mr Ildefonso Lopez Andres,P043418908,Current,FinAcc,Finance & Accounting
,,,Mr Iker Filloy Nieva,P042909555,Current,SenMan,Senior management
,,,Mr Mario Mujica,P504276982,Current,HR,Human Resources (HR)
,,,Mr Angel Alonso Pereda,P436417444,Current,R&D,Research & Development / Engineering
,,,Mr Angel Alonso Pereda,P436417444,Current,"Qual,OthDep",Quality Assurance; Other or unspecified department
,,,Mr Ruben Gonzalez Vinuesa,P652389678,Current,R&D,Research & Development / Engineering
,,,Mr Ruben Gonzalez Vinuesa,P652389678,Current,Oper,Operations & Production & Manufacturing
,,,Mr Jesus Astola Lejona,P042271782,Current,Proc,Purchasing & Procurement
,,,Ms Monica Muntion Ortega,P335163628,Current,IT&IS,Information Technology (IT) & Information Systems (IS)
880.,BOSBAAN2 LIMITED,IE698919,Ms Eileen McMahon,P412609715,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Ms Eileen Starrs,P261596891,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Wilmington Trust SP Services (Dublin) Limited,C009730387,Current,SenMan,Senior management
881.,THORIUM SPACE SP. Z O.O.,PL368645513,Mr Tomasz Brudzinski,P683656928,Current,SupB,Supervisory Board
,,,Mr Marcin Kowalczyk,P683656929,Current,SupB,Supervisory Board
,,,Mr Piotr Kupczak,P683656930,Current,SupB,Supervisory Board
,,,Mr Pawel Rymaszewski,P117595680,Current,ExeB,Executive Board
882.,M & M PROCESOS FINALES S.A.,ESA72026966,MECANIZADOS Y MONTAJES AERONAUTICOS SA,CVA9020765,Current,BoD,Board of Directors
,,,MECANIZADOS Y MONTAJES AERONAUTICOS SA,CVA9020765,Current,SenMan,Senior management
,,,Mr Luis Pizarro Teno,P157220509,Current,SenMan,Senior management
,,,Mr Luis Pizarro Teno,P157220509,Current,Sales,Sales & Retail
,,,Mr Dionisio Matute Sainz,P388929545,Current,FinAcc,Finance & Accounting
,,,Mr Dionisio Matute Sainz,P388929545,Current,IT&IS,Information Technology (IT) & Information Systems (IS)
,,,Ms Natalia Amaya Lanceta,P350111026,Current,HR,Human Resources (HR)
,,,Mr Antonio Aspera,P690162542,Current,Qual,Quality Assurance
883.,FAREM S.R.L.,IT00936640150,Ms Rosa Regine,P014514918,Current,BoD,Board of Directors
,,,Ms Rosa Regine,P014514918,Current,SenMan,Senior management
,,,Mr David Anthony Hassett,P086731455,Current,BoD,Board of Directors
,,,Ms Sara Regine Hassett,P014514917,Current,BoD,Board of Directors
884.,FEYJOSA AERONAUTICA SL,ESB85620151,Ms Soraya Baeza Yubero,P043217738,Current,BoD,Board of Directors
,,,Ms Soraya Baeza Yubero,P043217738,Current,SenMan,Senior management
,,,Ms Soraya Baeza Yubero,P043217738,Current,FinAcc,Finance & Accounting
,,,Ms Soraya Baeza Yubero,P043217738,Current,HR,Human Resources (HR)
,,,Ms Soraya Baeza Yubero,P043217738,Current,Sales,Sales & Retail
885.,ORBITAL EXPRESS LAUNCH LIMITED,GB09580714,Mr Alexander Arrola Gonzalez,P128977503,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Mr Alexander Arrola Gonzalez,P128977503,Current,OthDep,Other or unspecified department
,,,Mr Keith John Barclay,P458519616,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Mr Keith John Barclay,P458519616,Current,SenMan,Senior management
,,,Dr Simon Paul King,P141174287,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Dr Simon Paul King,P141174287,Current,SenMan,Senior management
,,,Mr Christopher Nigel Larmour,P045923654,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Mr Christopher Nigel Larmour,P045923654,Current,SenMan,Senior management
,,,Mr Albert Joseph Markus,P039659437,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Mr Albert Joseph Markus,P039659437,Current,SenMan,Senior management
,,,Mr Jimmy Fussing Nielsen,P043457876,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Mr Jimmy Fussing Nielsen,P043457876,Current,SenMan,Senior management
,,,Mr Kristian Von Bengtson,P263446458,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Mr Kristian Von Bengtson,P263446458,Current,SenMan,Senior management
,,,Mr Christopher Henry Coleridge,P046285069,Current,SenMan,Senior management
,,,Mr Miguel Mora,P683450716,Current,SenMan,Senior management
,,,Mr Trevor Seabrook,P736165165,Current,"SenMan,AdmDep",Senior management; Administration department
,,,Ms Shona Gatt,P736165514,Current,FinAcc,Finance & Accounting
,,,Mr Daniel Byrne,P736165203,Current,HR,Human Resources (HR)
,,,Ms Penny Godfrey,P736165170,Current,MarkAdv,Marketing & Advertising
,,,Mr Jonas Bjarn,P380235751,Current,R&D,Research & Development / Engineering
